流水號,國字,審定音,詞語例或說明,備注
54,佻,ㄊ丨ㄠ,佻薄、輕佻,
55,信,ㄒ丨ㄣˋ,背信忘義、明信片、聽信,
56,便,1.ㄅ丨ㄢˋ\n2.ㄆ丨ㄢˊ,1.便利、便宜行事、方便\n2.便辟、大腹便便、價格便宜,「便宜」一詞：作方便合宜義時\n，音ㄅ丨ㄢˋ 丨ˊ；作物價低廉\n、利益、好處義時，音ㄆ丨ㄢˊ\n丨ˊ。
57,俠,ㄒ丨ㄚˊ,蝙蝠俠、俠義、武俠小說,
58,俟,1.ㄑ丨ˊ\n2.ㄙˋ,1.万俟（ㄇㄛˋ ㄑ丨ˊ，複姓\n）\n2.俟命；姓（見《萬姓統譜》\n）。,
59,俊,ㄐㄩㄣˋ,俊雅、才俊、英俊,
60,俞,ㄩˊ,俞允；姓（如清代有俞樾）。,
61,俛,1.ㄇ丨ㄢˇ\n2.ㄈㄨˇ,1.僶（ㄇ丨ㄣˇ）俛\n2.俛首、俛仰,ㄈㄨˇ音，通「俯」。
62,倥,1.ㄎㄨㄥ\n2.ㄎㄨㄥˇ,1.倥侗（童蒙無知貌）\n2.倥傯（同「悾憁」）,
63,倩,ㄑ丨ㄢˋ,巧笑倩兮、倩影,
64,倆,1.ㄌ丨ㄚˇ\n2.ㄌ丨ㄤˇ,1.哥兒倆\n2.伎倆,
65,值,ㄓˊ,價值、值勤、值日,
66,倒,1.ㄉㄠˇ\n2.ㄉㄠˋ,1.翻箱倒櫃、倒閉、倒塌、倒\n胃口、跌倒、顛倒\n2.倒不如、倒垃圾、倒轉、倒\n影,
67,們,1.ㄇㄣˊ\n2.˙ㄇㄣ,1.圖們江（河川名）\n2.哥兒們、人們、我們,
68,俺,ㄢˇ,俺家,
69,倔,1.ㄐㄩㄝˊ\n2.ㄐㄩㄝˋ,1.倔強（ㄐ丨ㄤˋ）\n2.「他這個人真倔！」,
70,俱,ㄐㄩˋ,面面俱到、俱樂部、唱作俱佳,ㄐㄩ併讀為ㄐㄩˋ。
71,倡,1.ㄔㄤ\n2.ㄔㄤˋ,1.倡條、倡優\n2.提倡、倡議,
72,個,1.ㄍㄜˋ\n2.ㄍㄜˇ（限讀）,1.個性、個人、個子、一個\n2.自個兒,作量詞使用時，一般口語多變讀\n為輕聲，如：一個、這個、那個
,,,,、添個、來個。
73,倘,ㄊㄤˇ,倘使、倘然、倘若,
74,倭,ㄨㄛ,倭刀、倭奴、倭寇,
75,俾,ㄅ丨ˋ,俾能自立、俾倪、俾使,ㄅㄟ併讀為ㄅ丨ˋ。
76,偺,1.ㄗㄚˊ\n2.ㄗㄢˊ,1.偺家\n2.偺們,
77,假,1.ㄐ丨ㄚˇ\n2.ㄐ丨ㄚˋ,1.假借、假裝、真假\n2.放假、年假、假期,
78,偕,1.ㄒ丨ㄝˊ\n2.ㄐ丨ㄝ（限讀）,1.白頭偕老、偕行、與民偕樂\n2.馬偕,
79,側,ㄘㄜˋ,兩側、側目,ㄗㄜˋ併讀為ㄘㄜˋ。
80,傍,1.ㄅㄤ\n2.ㄅㄤˋ,1.傍午、傍晚\n2.依傍、依山傍水,
81,傅,ㄈㄨˋ,師傅、一傅眾咻,
82,傀,1.ㄍㄨㄟ\n2.ㄎㄨㄟˇ,1.傀然、傀偉\n2.傀儡,
83,傖,ㄘㄤ,寒傖、傖俗,ㄔㄥˊ併讀為ㄘㄤ。
84,傌,1.ㄇㄚˇ（限讀）\n2.ㄇㄚˋ,1.俥傌炮\n2.「今自王侯三公之貴，……\n而令與眾庶同黥、劓、髡、\n刖、笞、傌、棄市之法。」\n（《漢書》）,
85,傭,ㄩㄥ,僱傭、傭人,ㄩㄥˊ併讀為ㄩㄥ。
86,傳,1.ㄓㄨㄢˋ\n2.ㄔㄨㄢˊ,1.傳記、左傳（書名）\n2.傳單、傳奇、傳神、傳染,
87,僅,ㄐ丨ㄣˇ,僅有、碩果僅存,
88,傾,ㄑ丨ㄥ,濟弱扶傾、傾聽、傾家蕩產、\n傾斜,ㄎㄥ併讀為ㄑ丨ㄥ。
89,僮,1.ㄊㄨㄥˊ\n2.ㄓㄨㄤˋ（限讀）,1.僮僕、書僮\n2.僮族（同「壯族」，民族名\n）,
90,僥,1.ㄐ丨ㄠˇ\n2.丨ㄠˊ（限讀）,1.僥倖\n2.僬（ㄐ丨ㄠ）僥,
91,僻,ㄆ丨ˋ,冷僻、窮鄉僻壤、邪僻,ㄅㄟˋ併讀為ㄆ丨ˋ。
92,價,1.˙ㄍㄚ\n2.ㄐ丨ㄚˋ,1.成天價忙、嗤嗤價響\n2.代價、價格、價錢、價值,
93,儉,ㄐ丨ㄢˇ,儉色、勤儉,ㄐ丨ㄢˋ併讀為ㄐ丨ㄢˇ。
94,儐,ㄅ丨ㄣ,儐相、「山川所以儐鬼神也。\n」（《禮記》）,
95,儲,ㄔㄨˊ,儲蓄、儲值、倉儲、王儲,ㄔㄨˇ併讀為ㄔㄨˊ。
