流水號,國字,審定音,詞語例或說明,備注
220,喳,ㄓㄚ,吱吱喳喳、喳呼、「喳！」,ㄔㄚ併讀為ㄓㄚ。
221,單,1.ㄉㄢ\n2.ㄕㄢˋ\n3.ㄔㄢˊ（限讀）,1.單身、單數、簡單、菜單\n2.單縣（地名）；姓（如明代\n有單安仁）。\n3.單于,
222,喬,ㄑ丨ㄠˊ,喬木、喬遷、喬裝,
223,喏,1.ㄋㄨㄛˋ\n2.ㄖㄜˇ,1.喏喏、應喏、「喏！那不是\n你要找的人嗎？」\n2.唱喏、聲喏,
224,喒,1.ㄗㄚˊ\n2.ㄗㄢˊ,1.喒家\n2.喒們,
225,嗟,ㄐ丨ㄝ,嗟嘆、嗟來食、「嗟乎！」,ㄐㄩㄝ併讀為ㄐ丨ㄝ。
226,嗎,1.ㄇㄚˇ\n2.˙ㄇㄚ,1.嗎啡\n2.「可以嗎？」、「好嗎？」,
227,嗗,ㄍㄨ,嗗嘟嘟（狀聲詞）,
228,嗑,1.ㄎㄜˋ\n2.ㄏㄜˊ,1.嗑瓜子、嗑牙\n2.嗑嗑、噬嗑（《易經》卦名\n）,
229,嗆,ㄑ丨ㄤˋ,夠嗆、嗆鼻,
230,嗒,1.ㄉㄚ\n2.ㄊㄚˋ,1.啪嗒、「機關槍嗒嗒的響。\n」\n2.嗒然,
231,嗾,ㄙㄡˇ,唧嗾、嗾使,ㄗㄨˊ併讀為ㄙㄡˇ。
232,嘛,1.ㄇㄚˊ\n2.˙ㄇㄚ,1.幹嘛\n2.喇嘛、「來嘛！」,
233,嘔,1.ㄡ\n2.ㄡˇ\n3.ㄡˋ,1.嘔歌、嘔啞\n2.嘔吐、嘔心瀝血\n3.嘔氣、「存心嘔我！」,
234,嘍,1.ㄌㄡˊ\n2.˙ㄌㄡ,1.捅嘍子、嘍囉\n2.「放學嘍！」,
235,嘎,ㄍㄚ,嘎的一聲、嘎啦,
236,嘁,ㄑ丨,嘁哩喀喳、嘁嘁喳喳,
237,嘲,ㄔㄠˊ,冷嘲熱諷、嘲笑、自我解嘲,
238,嘿,ㄏㄟ,嘿嘿的笑、「嘿！近來好嗎？\n」,
239,嘩,1.ㄏㄨㄚ\n2.ㄏㄨㄚˊ,1.嘩啦\n2.「譁」之異體字。,
240,噓,ㄒㄩ,唏噓、噓寒問暖、吹噓,
241,噴,1.ㄆㄣ\n2.ㄆㄣˋ,1.噴嚏、噴泉、噴水、嚏噴、\n香噴噴\n2.噴鼻、噴香,˙ㄈㄣ併讀為ㄆㄣ。
242,噌,ㄗㄥ,味噌,ㄔㄥ併讀為ㄗㄥ。
243,噫,丨ˋ,噫嗚、噫氣,丨併讀為丨ˋ。
244,噹,1.ㄉㄤ\n2.ㄉ丨ㄤ（限讀）,1.叮噹\n2.噹噹兒,
245,噱,1.ㄐㄩㄝˊ\n2.ㄒㄩㄝ,1.發噱\n2.噱頭,
246,噯,ㄞˋ,噯氣、「噯喲！你上當了！」,ㄞˇ併讀為ㄞˋ。
247,噶,ㄍㄜˊ,喀什噶爾、準噶爾盆地、斯多\n噶學派,ㄍㄚˊ併讀為ㄍㄜˊ。
248,噭,1.ㄐ丨ㄠˋ\n2.ㄑ丨ㄠˋ,1.噭應\n2.「馬蹄噭千。」（《漢書》\n）,
249,嚇,1.ㄏㄜˋ\n2.ㄒ丨ㄚˋ,1.恐嚇、嚇嚇\n2.嚇唬、嚇一跳,
250,嚷,ㄖㄤˇ,大聲嚷嚷、吵嚷,ㄖㄤ併讀為ㄖㄤˇ。
251,嚼,1.ㄐ丨ㄠˊ\n2.ㄐㄩㄝˊ,1.嚼舌、細嚼慢嚥\n2.咀嚼、咀英嚼華、味同嚼蠟,作牙齒咬義時，於口語詞音ㄐ丨\nㄠˊ，於文言詞音ㄐㄩㄝˊ。
252,囁,ㄋ丨ㄝˋ,囁嚅,
253,囉,1.ㄌㄨㄛ\n2.ㄌㄨㄛˊ\n3.˙ㄌㄨㄛ,1.囉嗦\n2.嘍（ㄌㄡˊ）囉、哈囉\n3.「夠囉！」、「好囉！」,
254,囝,ㄐ丨ㄢˇ,大囝、囝孫,
255,囪,1.ㄔㄨㄤ\n2.ㄘㄨㄥ,1.「窗」之本字。\n2.煙囪,
256,囤,1.ㄉㄨㄣˋ\n2.ㄊㄨㄣˊ,1.囤子、火囤\n2.囤糧、囤積居奇,
257,圈,1.ㄐㄩㄢˋ\n2.ㄑㄩㄢ,1.豬圈、獸圈\n2.圈套、圈選、橡皮圈、商業\n圈、圓圈,
258,圳,1.ㄗㄨㄣˋ\n2.ㄓㄣˋ,1.嘉南大圳、圳溝\n2.深圳（地名）,ㄔㄡˊ併讀為ㄗㄨㄣˋ。
259,地,1.˙ㄉㄜ\n2.ㄉ丨ˋ,1.慢慢地、漸漸地\n2.大地,˙ㄉㄜ音，結構助詞，用於副詞\n後。同「的」。
260,坊,1.ㄈㄤ\n2.ㄈㄤˊ,1.牌坊、街坊、茶坊、染坊\n2.坊記（《禮記》篇名）、堤\n坊（同「隄防」）,
261,均,ㄐㄩㄣ,平均、均分、勢均力敵,
262,圾,ㄙㄜˋ,垃圾,ㄐ丨併讀為ㄙㄜˋ。
263,坏,1.ㄆㄟ\n2.ㄏㄨㄞˋ,1.坏土、捏坏、拉坏\n2.「壞」之異體字。,ㄆㄟˊ、ㄆ丨併讀為ㄆㄟ。
264,坯,ㄆㄟ,坯布、毛坯、泥坯、壞坯子,ㄆ丨併讀為ㄆㄟ。
265,坻,1.ㄉ丨ˇ\n2.ㄔˊ,1.寶坻（地名）、「坻，隴阪\n。」（《廣韻》）\n2.「宛在水中坻。」（《詩經\n》）,
266,垛,1.ㄉㄨㄛˇ\n2.ㄉㄨㄛˋ,1.箭垛、城垛\n2.堆垛、草垛,
267,埔,ㄆㄨˇ,海埔新生地、三重埔,ㄅㄨˇ併讀為ㄆㄨˇ。
268,埋,1.ㄇㄞˊ\n2.ㄇㄢˊ（限讀）,1.埋葬、埋藏、掩埋\n2.埋怨,
269,埠,ㄅㄨˋ,港埠、華埠、商埠,ㄈㄨˋ併讀為ㄅㄨˋ。
270,埤,1.ㄅ丨ˋ\n2.ㄆ丨ˊ,1.埤溼、「松柏不生埤。」（\n《國語》）\n2.埤頭鄉、虎頭埤、水埤、「\n削長埤短。」（南朝宋．鮑\n照〈登大雷岸與妹書〉）,ㄆ丨ˋ併讀為ㄅ丨ˋ。
271,堵,ㄉㄨˇ,堵嘴、堵塞、一堵牆,
272,培,1.ㄆㄟˊ\n2.ㄆㄡˇ,1.培養、培育、栽培\n2.培塿、「高培則拔。」（《\n呂氏春秋》）,
273,埶,1.ㄕˋ\n2.丨ˋ,1.「勢」之本字。\n2. 「埶，種也。」（《說文\n》）；古「藝」字。,
274,場,ㄔㄤˇ,登場、會場、場所、操場、一\n場電影,ㄔㄤˊ併讀為ㄔㄤˇ。
275,堤,ㄊ丨ˊ,堤防、河堤,ㄉ丨併讀為ㄊ丨ˊ。
276,堡,ㄅㄠˇ,堡壘、古堡、漢堡,ㄆㄨˋ併讀為ㄅㄠˇ。
277,塞,1.ㄙㄜˋ\n2.ㄙㄞ,1.閉塞、推諉塞責、充塞、阻\n塞、塞擦音\n2.瓶塞、活塞、塞車,1.ㄙㄟ併讀為ㄙㄜˋ。\n2.於阻隔不通義之用法：凡構成\n複合詞時，音ㄙㄜˋ；動詞單
,,3.ㄙㄞˋ,3.邊塞、要塞,用時，音ㄙㄞ。
278,墉,ㄩㄥ,垣墉、墉城,ㄩㄥˊ併讀為ㄩㄥ。
279,墳,ㄈㄣˊ,墳墓、墳場、三墳五典,
280,墮,ㄉㄨㄛˋ,墮馬、墮落、呱呱（ㄨㄚ ㄨ\nㄚ）墮地,
281,壅,ㄩㄥ,交通壅塞、壅蔽,ㄩㄥˇ併讀為ㄩㄥ。
282,壘,1.ㄌㄟˇ\n2.ㄌㄩˋ（限讀）,1.堡壘、壘砌、壘球\n2.鬱壘（門神名）,
283,壞,ㄏㄨㄞˋ,敗壞、破壞、腐壞、壞心,ㄍㄨㄞˋ併讀為ㄏㄨㄞˋ。
284,夏,1.ㄐ丨ㄚˇ\n2.ㄒ丨ㄚˋ,1.夏楚\n2.夏季、夏朝、夏屋；姓（如\n現代文學家夏丏尊）。,
285,多,ㄉㄨㄛ,多麼、多謝、多事之秋、多少\n、多疑,ㄉㄨㄛˊ併讀為ㄉㄨㄛ。
286,大,1.ㄉㄚˋ\n2.ㄉㄞˋ,1.大夫（官名）、大小\n2.大夫（醫生）,
287,夫,1.ㄈㄨ\n2.ㄈㄨˊ,1.匹（ㄆ丨ˇ）夫、夫人、大\n夫、樵夫\n2.夫差（人名）、「逝者如斯\n夫，不舍晝夜。」（《論語\n》）、「夫國君好仁，天下\n無敵。」（《孟子》）,
288,夭,丨ㄠ,桃夭（《詩經》篇名）、逃之\n夭夭、夭折,丨ㄠˇ、ㄠˇ併讀為丨ㄠ。
289,夾,ㄐ丨ㄚˊ,皮夾、髮夾、夾道歡迎、夾菜,ㄐ丨ㄚ、ㄐ丨ㄚˋ併讀為ㄐ丨ㄚˊ\n。
290,奉,ㄈㄥˋ,奉獻、奉承、奉為圭臬、供奉\n、信奉,
291,奇,1.ㄐ丨\n2.ㄑ丨ˊ,1.奇零（同「畸零」）、奇數\n2.奇門遁甲、奇怪、奇貨可居\n、奇經八脈、奇裝異服、傳\n奇,
292,奄,1.丨ㄢ\n2.丨ㄢˇ,1.奄人、奄奄一息\n2.奄忽、「奄有四方。」（《\n詩經》）,
293,奔,ㄅㄣ,奔波、奔跑、奔流、投奔,ㄅㄣˋ併讀為ㄅㄣ。
294,契,1.ㄑ丨ˋ\n2.ㄒ丨ㄝˋ（限讀）,1.契丹、契刻、契合、契約\n2.人名，虞舜之臣。,
295,奘,ㄗㄤˋ,玄奘、「奘，大也。」（《玉\n篇》）,
296,奧,ㄠˋ,堂奧、深奧、奧妙,
297,女,1.ㄋㄩˇ\n2.ㄋㄩˋ,1.美女、女兒\n2.「宋雍氏女於鄭莊公。」（\n《左傳》）,文言動詞，音ㄋㄩˋ。
298,妃,ㄈㄟ,妃子、貴妃,
299,好,1.ㄏㄠˇ\n2.ㄏㄠˋ,1.好朋友、好看、好久、好人\n好事、寫好了、正好、完好\n如初、「好！正合我意。」\n、「這事好辦。」\n2.投其所好、好奇、好學不倦,
300,妨,ㄈㄤˊ,不妨、妨害,ㄈㄤ併讀為ㄈㄤˊ。
301,妊,ㄖㄣˋ,妊婦、妊娠紋,ㄖㄣˊ併讀為ㄖㄣˋ。
302,妻,1.ㄑ丨\n2.ㄑ丨ˋ,1.夫妻、妻子\n2.以女妻之,文言動詞，音ㄑ丨ˋ。
303,委,1.ㄨㄟˇ\n2.ㄨㄟ,1.委託、委曲求全、委員、原\n委\n2.委蛇（丨ˊ）,
304,姍,ㄕㄢ,姍笑、姍姍來遲,ㄒ丨ㄢ併讀為ㄕㄢ。
305,始,ㄕˇ,開始、自始至終、「千呼萬喚\n始出來。」（唐．白居易〈琵\n琶行〉）,ㄕˋ併讀為ㄕˇ。
306,姊,1.ㄐ丨ㄝˇ語\n2.ㄗˇ讀,1.姊妹、姊姊\n2.「小弟聞姊來。」（〈木蘭\n詩〉）,現代日常用語以ㄐ丨ㄝˇ音為主\n，文言詞彙可視情況讀為ㄗˇ。
307,妯,ㄓㄡˊ,妯娌,ㄓㄨˊ併讀為ㄓㄡˊ。
308,妳,1.ㄋ丨ˇ\n2.ㄋㄞˇ,1.妳們、「媽媽，我愛妳！」\n2.「嬭」之異體字。,ㄋ丨ˇ音，第二人稱代詞，專用\n於女性。
309,姣,ㄐ丨ㄠˇ,姣麗、姣好,ㄐ丨ㄠ併讀為ㄐ丨ㄠˇ。
310,姥,1.ㄇㄨˇ\n2.ㄌㄠˇ,1.天姥山、乳姥（同「乳姆」\n）\n2.姥姥,
311,娜,1.ㄋㄚˋ\n2.ㄋㄨㄛˊ,1.蒙娜麗莎、黛安娜、莎喲娜\n拉\n2.嬌娜、婀娜,ㄋㄨㄛˇ併讀為ㄋㄨㄛˊ。
312,娠,ㄕㄣ,妊娠、有娠,ㄓㄣˋ併讀為ㄕㄣ。
313,娩,1.ㄇ丨ㄢˇ\n2.ㄨㄢˇ,1.分娩\n2.婉娩、「娩，媚好也。」（\n《玉篇》）,
314,娶,ㄑㄩˇ,娶妻、迎娶,ㄑㄩˋ併讀為ㄑㄩˇ。
315,婁,ㄌㄡˊ,婁縣（地名）、離婁；姓（如\n唐代有婁師德）。,
316,婀,ㄜ,婀娜（ㄋㄨㄛˊ）,ㄜˇ併讀為ㄜ。
317,婢,ㄅ丨ˋ,婢女、奴婢、官婢,ㄅㄟˋ併讀為ㄅ丨ˋ。
318,媛,ㄩㄢˊ,邦媛、名媛,ㄩㄢˋ併讀為ㄩㄢˊ。
319,嫖,1.ㄆ丨ㄠ\n2.ㄆ丨ㄠˊ,1.嫖疾、嫖姚\n2.嫖妓、吃喝嫖賭,
320,孌,ㄌㄨㄢˊ,「靜女其孌，貽我彤管。」（\n《詩經》）,ㄌㄩㄢˇ併讀為ㄌㄨㄢˊ。
321,子,1.ㄗˇ,1.瓜子、孔子、經史子集、子\n弟、兒子、王子,置於詞尾作為詞綴時，音˙ㄗ。
,,2.˙ㄗ,2.脖子、拍子、兩下子、傻子,
322,孚,ㄈㄨˊ,孚眾望、孚佑、情孚意合,
323,孫,ㄙㄨㄣ,祖孫；姓（如春秋有孫武）。,
324,孳,ㄗ,孳生、孳孳不倦,ㄗˋ併讀為ㄗ。
325,孱,ㄔㄢˊ,孱夫、孱弱,
326,學,ㄒㄩㄝˊ,博學多聞、中學、邯鄲學步、\n學習,ㄒ丨ㄠˊ併讀為ㄒㄩㄝˊ。
327,孿,ㄌㄨㄢˊ,孿生兄弟、孿生子,ㄌㄩㄢˊ併讀為ㄌㄨㄢˊ。
328,它,ㄊㄚ,它們、之死靡它、「它山之石\n，可以為錯。」（《詩經》）,1.ㄊㄨㄛ併讀為ㄊㄚ。\n2.為第三人稱代詞，用於無生物\n等事物。
329,守,ㄕㄡˇ,太守、守候、守信、駐守、遵\n守、操守,
330,宅,ㄓㄞˊ,宅心仁厚、住宅、安宅,ㄓㄜˋ併讀為ㄓㄞˊ。
331,宛,1.ㄨㄢˇ\n2.ㄩㄢ（限讀）,1.宛平（地名）、宛轉、宛然\n、宛如、宛延\n2.大宛（古國名、馬名）,
332,害,ㄏㄞˋ,妨害、害羞、災害、要害,
333,家,1.ㄍㄨ\n2.ㄐ丨ㄚ,1.大家（對女子的尊稱）、阿\n家\n2.扮家家酒、大家（世家望族\n、專家、眾人）、農家、家\n庭、咱家,
334,宿,1.ㄒ丨ㄡˇ\n2.ㄒ丨ㄡˋ\n3.ㄙㄨˋ,1.整宿、一宿\n2.星宿\n3.住宿、宿命、宿舍、宿醉、\n宿願,
335,寧,1.ㄋ丨ㄥˊ\n2.ㄋ丨ㄥˋ,1.寧可、寧願、安寧\n2.姓（如漢代有寧成）。,
336,寫,ㄒ丨ㄝˇ,編寫、寫生、抄寫,
337,射,1.ㄕㄜˋ\n2.丨ㄝˋ,1.投射、射擊\n2.僕射、射干,ㄕˊ併讀為ㄕㄜˋ。
338,尉,1.ㄨㄟˋ\n2.ㄩˋ,1.廷尉、少尉\n2.尉遲（複姓，如唐代有尉遲\n恭）；姓（如春秋時鄭國有\n尉止）。,
339,將,1.ㄐ丨ㄤ\n2.ㄐ丨ㄤˋ\n3.ㄑ丨ㄤ,1.將功贖罪、將就、將近、將\n軍、將信將疑\n2.將兵、上將、勇將\n3.「鼓鍾將將。」（《詩經》\n）、「將子無怒，秋以為期\n。」（《詩經》）,
340,尋,ㄒㄩㄣˊ,耐人尋味、尋常、找尋,ㄒ丨ㄣˊ、ㄒㄩㄝˊ併讀為ㄒㄩㄣ\nˊ。
341,導,ㄉㄠˇ,報導、導電、開導、教（ㄐ丨\nㄠˋ）導、引導,ㄉㄠˋ併讀為ㄉㄠˇ。
342,少,1.ㄕㄠˇ\n2.ㄕㄠˋ,1.缺少、少不得、少頃、少有\n2.年少、老少咸宜、少傅、少\n東,
343,尬,ㄍㄚˋ,尷尬,ㄐ丨ㄝˋ併讀為ㄍㄚˋ。
344,尷,ㄍㄢ,尷尬,ㄐ丨ㄢ併讀為ㄍㄢ。
345,尺,1.ㄔˇ\n2.ㄔㄜˇ（限讀）,1.皮尺、公尺、鎮尺、尺寸\n2.工尺,ㄔˊ併讀為ㄔˇ。
346,尾,ㄨㄟˇ,結尾、一尾魚、尾巴、尾款,丨ˇ併讀為ㄨㄟˇ。
347,居,ㄐㄩ,退居、居心、居住、奇貨可居,
348,屎,ㄕˇ,狗屎、眼屎,
349,屏,1.ㄅ丨ㄥˇ\n2.ㄆ丨ㄥˊ,1.屏息、屏除\n2.屏風、屏東（地名）、屏障,
350,屠,ㄊㄨˊ,屠宰、屠城,
351,屬,1.ㄓㄨˇ\n2.ㄕㄨˇ,1.屬託、屬文\n2.部屬、金屬、親屬、屬於,
352,屯,1.ㄊㄨㄣˊ\n2.ㄓㄨㄣ\n3.ㄔㄨㄣˊ（限讀）,1.屯兵、屯積\n2.屯卦、屯邅（ㄓㄢ）\n3.屯留（地名）,
353,岔,ㄔㄚˋ,打岔、交岔路口、岔氣,
354,岡,ㄍㄤ,黃花岡（地名）、山岡,ㄍㄤˇ併讀為ㄍㄤ。
355,岫,ㄒ丨ㄡˋ,煙嵐雲岫、嵒（丨ㄢˊ）岫,
356,峒,1.ㄉㄨㄥˋ\n2.ㄊㄨㄥˊ,1.大龍峒（地名）、黎峒\n2.崆峒山,
357,崢,ㄓㄥ,崢嶸、嶢（丨ㄠˊ）崢,ㄔㄥˊ併讀為ㄓㄥ。
358,崗,1.ㄍㄤ\n2.ㄍㄤˇ,1.復興崗（地名）、山崗（同\n「山岡」）\n2.崗哨、崗位、站崗,
359,嵌,1.ㄑ丨ㄢ\n2.ㄎㄢˇ（限讀）,1.嵌造、嵌巖、鑲嵌\n2.赤嵌樓,ㄑ丨ㄢˋ併讀為ㄑ丨ㄢ。
360,嶄,ㄓㄢˇ,嶄露、嶄新,
361,嶸,ㄖㄨㄥˊ,崢嶸,ㄏㄨㄥˊ併讀為ㄖㄨㄥˊ。
362,巫,ㄨ,小巫見大巫、巫婆,ㄨˊ併讀為ㄨ。
363,差,1.ㄔㄚ\n2.ㄔㄞ\n3.ㄘ\n4.ㄘㄨㄛ（限讀）,1.差不多、差勁、差數\n2.夫差（人名）、差遣、出差\n、郵差\n3.參（ㄘㄣ）差\n4.景差（人名）,ㄔㄚˋ併讀為ㄔㄚ。
364,巽,ㄒㄩㄣˋ,巽令、巽言,ㄙㄨㄣˋ併讀為ㄒㄩㄣˋ。
365,帆,ㄈㄢˊ,帆布、一帆風順,ㄈㄢ併讀為ㄈㄢˊ。
366,帖,ㄊ丨ㄝˇ,碑帖、帖子、字帖、一帖藥,ㄊ丨ㄝˋ併讀為ㄊ丨ㄝˇ。
367,帑,ㄊㄤˇ,公帑、帑藏（ㄗㄤˋ）,
368,帥,ㄕㄨㄞˋ,統帥、帥氣,ㄕㄨㄛˋ併讀為ㄕㄨㄞˋ。
369,幅,ㄈㄨˊ,篇幅、幅度、一幅字畫,
370,幕,ㄇㄨˋ,幕僚、開幕、帳幕,
371,幢,ㄔㄨㄤˊ,鬼影幢幢、幢幡、一幢房子,
372,平,1.ㄅ丨ㄢˋ\n2.ㄆ丨ㄥˊ,1.平章百姓、平獄緩刑（《漢\n書》）\n2.平均、平常、平上（ㄕㄤˇ\n）去入、平章（古官名）、\n填平、心平氣和,1.ㄅ丨ㄢˋ音，通「釆」。\n2.「平章」一詞：作辨別清楚義\n，音ㄅ丨ㄢˋ；作官職義，音\nㄆ丨ㄥˊ。
373,并,1.ㄅ丨ㄥˋ\n2.ㄅ丨ㄥ（限讀）,1.并吞、兼并\n2.并州（地名）,
374,幹,ㄍㄢˋ,埋頭苦幹、軀幹、樹幹,
375,幾,1.ㄐ丨\n2.ㄐ丨ˇ,1.幾乎、庶幾\n2.幾何、幾許,
376,底,ㄉ丨ˇ,底片、底薪、鞋底、月底,
377,度,1.ㄉㄨˋ\n2.ㄉㄨㄛˋ,1.度日如年、態度、角度、制\n度、置之度外、再度\n2.度量、揣度,
378,庸,ㄩㄥ,中庸、毋庸置疑,ㄩㄥˊ併讀為ㄩㄥ。
379,廁,ㄘㄜˋ,雜廁、廁身其間、廁所,ㄘˋ、ㄙˋ併讀為ㄘㄜˋ。
380,廈,ㄒ丨ㄚˋ,高樓大廈、廈門,ㄕㄚˋ併讀為ㄒ丨ㄚˋ。
381,廨,ㄒ丨ㄝˋ,官廨、廨宇,ㄐ丨ㄝˋ併讀為ㄒ丨ㄝˋ。
382,弁,1.ㄅ丨ㄢˋ\n2.ㄆㄢˊ（限讀）,1.弁言、皮弁、馬弁\n2.小弁（《詩經》篇名）,
383,弄,1.ㄋㄨㄥˋ\n2.ㄌㄨㄥˋ（限讀）,1.調絃弄管、戲弄、玩弄\n2.巷弄,
384,弛,ㄔˊ,廢弛、弛弓、鬆弛,ㄕˇ併讀為ㄔˊ。
385,弟,1.ㄉ丨ˋ\n2.ㄊ丨ˋ,1.弟子、兄弟\n2.不弟、孝弟,ㄊ丨ˋ音，同「悌」。
386,張,ㄓㄤ,東張西望、誇張、張羅、主張,
387,強,1.ㄐ丨ㄤˋ\n2.ㄑ丨ㄤˊ\n3.ㄑ丨ㄤˇ,1.強脾氣、倔（ㄐㄩㄝˊ）強\n2.強盜、強權、強壯、弱肉強\n食\n3.勉強、強迫、強詞奪理,健壯有力，音ㄑ丨ㄤˊ；執意迫\n使，音ㄑ丨ㄤˇ。
388,彈,1.ㄉㄢˋ\n2.ㄊㄢˊ,1.彈道、彈弓、彈子房、炸彈\n2.彈腿、彈劾、彈簧、彈性,
389,彊,1.ㄑ丨ㄤˊ\n2.ㄑ丨ㄤˇ\n3.ㄐ丨ㄤˋ,1.彊梁、彊弩之末、彊禦\n2.勉彊、彊顏歡笑\n3.「彊不可使者，皆斬之。」\n（《史記》）,
390,彷,1.ㄆㄤˊ\n2.ㄈㄤˇ（限讀）,1.彷徨、彷徉\n2.彷彿,
391,待,1.ㄉㄞ\n2.ㄉㄞˋ,1.待不了、待一會兒\n2.待人接物、待遇、對待、坐\n以待斃,
392,徊,ㄏㄨㄟˊ,徘徊、低徊,ㄏㄨㄞˊ併讀為ㄏㄨㄟˊ。惟疊韻\n詞「徘徊」或古詩詞押韻時，「\n徊」仍可讀作ㄏㄨㄞˊ。
393,徇,ㄒㄩㄣˋ,徇國忘家、徇私、「夫徇耳目\n內通而外於心知。」（《莊子\n》）,ㄒㄩㄣˊ併讀為ㄒㄩㄣˋ。
394,得,1.ㄉㄜˊ\n2.˙ㄉㄜ,1.不得了、得到、得意、何以\n見得\n2.跑得高、跳得遠,
,,3.ㄉㄟˇ,3.總得、「這件事非得這麼做\n不可。」,
395,從,1.ㄗㄨㄥˋ\n2.ㄘㄨㄥˊ\n3.ㄗㄨㄥ\n4.ㄘㄨㄥ（限讀）,1.侍從、從犯、從兄弟\n2.力不從心、跟從、順從、從\n前、言聽計從\n3.從衡、「變事從跡安起？」\n（《漢書》）\n4.從容,ㄗㄨㄥ音，同「縱」、「蹤」。
396,御,ㄩˋ,駕御、御醫,
397,復,ㄈㄨˋ,報復、平復、反復、康復、死\n灰復燃、「今夕復何夕？」（\n唐．杜甫〈贈衛八處士〉詩）,ㄈㄡˋ併讀為ㄈㄨˋ。
398,徬,ㄆㄤˊ,徬徨,
399,微,ㄨㄟˊ,卑微、細微、稍微、衰微,ㄨㄟ併讀為ㄨㄟˊ。
400,徵,1.ㄓㄥ\n2.ㄓˇ（限讀）,1.徵信、徵兆、徵召、徵稅、\n應徵\n2.徵調（古代五音：宮、商、\n角、徵、羽）,
401,徼,1.ㄐ丨ㄠ\n2.ㄐ丨ㄠˇ\n3.ㄐ丨ㄠˋ,1.「惡徼以為知者。」（《論\n語》）\n2.徼幸（同「僥倖」）\n3.徼外、徼循,
402,忘,ㄨㄤˋ,好利忘義、遺忘、忘年,ㄨㄤˊ併讀為ㄨㄤˋ。
403,忪,1.ㄓㄨㄥ\n2.ㄙㄨㄥ,1.怔（ㄓㄥ）忪\n2.惺忪,
404,怔,1.ㄌㄥˋ\n2.ㄓㄥ,1.怔怔、怔呵呵\n2.怔忪（ㄓㄨㄥ）、怔忡,ㄌㄥˋ音，通「愣」。
405,怯,ㄑㄩㄝˋ,膽怯、怯場、羞怯,ㄑ丨ㄝˋ併讀為ㄑㄩㄝˋ。
406,怜,1.ㄌ丨ㄥˊ\n2.ㄌ丨ㄢˊ,1.怜悧（同「伶俐」）\n2.「憐」之異體字。,
407,思,1.ㄙ\n2.ㄙㄞ,1.相思、思慕、思考、思前想\n後、文思泉湧\n2.「于思于思，棄甲復來。」\n（《左傳》）,ㄙˋ併讀為ㄙ。
408,怎,ㄗㄣˇ,怎麼、怎知,ㄗㄜˇ併讀為ㄗㄣˇ。
409,怨,ㄩㄢˋ,抱怨、恩怨分明、怨天尤人,ㄩㄢ併讀為ㄩㄢˋ。
410,恫,1.ㄉㄨㄥˋ\n2.ㄊㄨㄥ,1.恫嚇\n2.恫瘝（ㄍㄨㄢ）、哀恫,
411,恪,ㄎㄜˋ,恪守、恪遵,ㄑㄩㄝˋ併讀為ㄎㄜˋ。
412,恣,ㄗˋ,放恣、恣意、汪洋自恣,ㄗ、ㄘ併讀為ㄗˋ。
413,悚,ㄙㄨㄥˇ,毛骨悚然、震悚,
414,悖,ㄅㄟˋ,悖禮、並行不悖,
415,惡,1.ㄜˋ\n2.ㄨ\n3.ㄨˋ,1.欺善怕惡、罪惡、惡化\n2.「惡！是何言也？」（《孟\n子》）\n3.可惡、羞惡之心、厭惡,
416,悶,1.ㄇㄣ\n2.ㄇㄣˋ,1.悶不吭聲、悶頭、悶聲不響\n、悶熱\n2.悶悶不樂、煩悶,密閉、氣流不暢，音ㄇㄣ；煩懣\n，音ㄇㄣˋ。
417,愣,ㄌㄥˋ,愣頭愣腦、愣住、二愣子,ㄌㄥ併讀為ㄌㄥˋ。
418,惺,ㄒ丨ㄥ,假惺惺、惺忪（ㄙㄨㄥ）,ㄒ丨ㄥˇ併讀為ㄒ丨ㄥ。
419,慨,ㄎㄞˇ,感慨、慨然允諾、慷慨,ㄎㄞˋ併讀為ㄎㄞˇ
420,愀,ㄑ丨ㄠˇ,愀愴、愀然,ㄐ丨ㄡˇ併讀為ㄑ丨ㄠˇ。
421,愒,1.ㄎㄞˋ\n2.ㄑ丨ˋ,1.愒日、玩日愒歲\n2.「民亦勞止，汔可小愒。」\n（《詩經》）、「有一客姥,ㄑ丨ˋ音，通「憩」。
,,,，居店賣食。帝過愒之。」\n（《世說新語》）,
422,感,ㄍㄢˇ,百感交集、感動、感染,
423,愾,ㄎㄞˋ,憤愾、同仇敵愾,
424,慷,ㄎㄤ,慷慨,ㄎㄤˇ併讀為ㄎㄤ。
425,慵,ㄩㄥ,嬌慵、疏慵、慵懶,ㄩㄥˊ併讀為ㄩㄥ。
426,應,1.丨ㄥ\n2.丨ㄥˋ,1.罪有應得、應該\n2.報應、應對、應驗,
427,懋,ㄇㄠˋ,懋績、懋遷；姓（如明代有懋\n國輔）。,ㄇㄡˋ併讀為ㄇㄠˋ。
428,懶,ㄌㄢˇ,懶惰、心灰意懶、伸懶腰、慵\n懶,
429,懵,ㄇㄥˊ,懵懂、懵然未覺,ㄇㄥˇ併讀為ㄇㄥˊ。
430,懾,ㄓㄜˊ,懾服、震懾,ㄕㄜˋ併讀為ㄓㄜˊ。
431,我,ㄨㄛˇ,你來我往、卿卿我我、正合我\n意、自我、我國,ㄜˇ併讀為ㄨㄛˇ。
432,戚,ㄑ丨,悲戚、親戚,
