,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
7,0776,徘,ㄆㄞˊ,,,,
8,0777,御,ㄩˋ,,,,
9,0778,,ㄅ｜ㄢˋ,,,,
10,0779,徦,ㄐ｜ㄚˇ,,,,
0,0780,復,ㄈㄨˋ,,,,
1,0781,徬,ㄆㄤˊ,徬徨,,通「傍」時，\n音ㄅㄤˋ，依\n附也。,
2,0782,微,ㄨㄟˊ,,,,
3,0783,徯,ㄒ｜,,,,
4,0784,徵,1.ㄓㄥ\n2.ㄓˇ\n(限讀),1.徵兆、徵\n召、應徵、\n徵稅、徵信\n社,2.限於「宮商\n角徵羽」之\n「徵」，音\nㄓˇ。,,
5,0785,徼,1.ㄐ｜ㄠˋ\n2.ㄐ｜ㄠ,1.徼外、徼循\n2.「惡徼以為\n知者。」（論\n語‧陽貨）,,通「僥倖」之\n「僥」時，音\nㄐ｜ㄠˇ。,
6,0786,忘,ㄨㄤˋ,,,,
7,0787,忕,ㄕˋ,「 小 廉 而 苛\n忕 。 」 （ 管\n子‧小匡）、\n「忕邪臣。」\n（史記‧漢興\n以 來 諸 侯 王\n年表）,,通「」時，\n音ㄊㄞˋ。,
8,0788,忔,1.ㄑ｜ˋ\n2.｜ˋ,1.「棄為兒\n時，忔如巨\n人之志。」\n（史記‧周\n本紀）\n2.「數忔食\n飲。」（史\n記‧倉公傳）,,,
0,0789,忒,1.ㄊㄜˋ\n2.ㄊㄜ,1.欺人忒\n甚、「四時\n不忒。」（易\n經‧豫卦）\n2.忒愣愣、忒\n兒的,,,
1,*0790,忍,ㄖㄣˇ,,,,
2,0791,忨,ㄨㄢˊ,,,,
3,0792,忸,ㄋ｜ㄡˇ,,,,
4,0793,忮,ㄓˋ,,,,
5,0794,忤,ㄨˇ,,,,
6,0795,忯,ㄑ｜ˊ,,,,
7,*0796,忳,ㄊㄨㄣˊ,,,,
8,0797,忪,1.ㄓㄨㄥ\n2.ㄙㄨㄥ,1.怔忪\n2.惺忪,,,
9,0798,忝,ㄊ｜ㄢˇ,,,,
10,0799,怫,ㄈㄨˊ,怫鬱、怫然,,通「悖」時，\n音ㄅㄟˋ。,
11,0800,怔,ㄓㄥ,怔忡、怔忪,,通「愣」時，\n音ㄌㄥˋ。,
12,0801,怲,ㄅ｜ㄥˇ,,,,
13,0802,怯,ㄑㄩㄝˋ,,,,
14,*0803,怵,ㄔㄨˋ,,,,
15,0804,怖,ㄅㄨˋ,,,,
16,*0805,怚,ㄐㄩˋ,,,,
17,0806,怛,ㄉㄚˊ,,,,
18,*0807,怞,ㄔㄡˊ,,,,
19,0808,怏,｜ㄤˋ,,,,
20,0809,怗,ㄓㄢ,,,,
21,*0810,怢,ㄊㄨˊ,,,,
22,*0811,怍,ㄗㄨㄛˋ,,,,
23,0812,怐,ㄍㄡˋ,,,,
0,0813,怕,ㄆㄚˋ,,,,
1,0814,怮,｜ㄡ,,,,
2,0815,怜,ㄌ｜ㄥˊ,怜俐,,通「憐」時，\n音ㄌ｜ㄢˊ。,
3,0816,思,1.ㄙ\n2.ㄙㄞ\n(限讀),1.思考、相\n思、文思泉\n湧、思慕、\n思前想後,2.限於「于\n思」一詞音\nㄙㄞ。,,
4,*0817,怠,ㄉㄞˋ,,,,
5,0818,怨,ㄩㄢˋ,,,,
6,0819,怎,ㄗㄣˇ,,,,
7,0820,怒,ㄋㄨˋ,,,,
8,*0821,恔,ㄒ｜ㄠˋ,,,,
9,*0822,恃,ㄕˋ,,,,
10,0823,恉,ㄓˇ,,,,
11,0824,恢,ㄏㄨㄟ,,,,
12,*0825,恆,ㄏㄥˊ,,,,
13,0826,恫,1.ㄊㄨㄥ\n2.ㄉㄨㄥˋ,1.哀恫、恫瘝\n2.恫嚇,,,
14,*0827,恌,ㄊ｜ㄠ,,,,
15,0828,恀,ㄔˇ,,,,
16,*0829,恂,ㄒㄩㄣˊ,,,,
17,0830,恪,ㄎㄜˋ,,,,
18,0831,恣,ㄗˋ,,,,
19,0832,恝,ㄐ｜ㄚˊ,,,,
20,0833,恚,ㄏㄨㄟˋ,,,,
21,*0834,恐,ㄎㄨㄥˇ,,,,
0,0835,恁,ㄖㄣˋ,「 宜 亦 勸 恁\n旅力。」（後\n漢 書 ‧ 班 固\n傳）、「你恁\n時幼小，認我\n不得。」（五\n代史平話‧梁\n史‧卷上）、\n「 生 死 人 常\n理 如 何 恁 怕\n怯？」（金‧\n董解元‧西廂\n記諸宮調）,,通「您」時，\n音ㄋ｜ㄣˊ。,
1,*0836,悢,ㄌ｜ㄤˋ,,,,
2,0837,悌,ㄊ｜ˋ,,,,
3,*0838,悈,ㄐ｜ㄝˋ,,,,
4,0839,悖,ㄅㄟˋ,並行不悖、悖\n慢、悖逆,,通「勃」時，\n音ㄅㄛˊ。,
5,0840,悚,ㄙㄨㄥˇ,,,,
6,0841,悝,ㄎㄨㄟ,,,,
7,0842,悁,ㄐㄩㄢˋ,,,,
8,*0843,悛,ㄑㄩㄢ,,,,
9,0844,悔,ㄏㄨㄟˇ,,,,
10,0845,悗,ㄇㄢˊ,,,,
11,0846,悇,ㄊㄨˊ,,,,
12,0847,悠,｜ㄡ,,,,
13,0848,悹,ㄍㄨㄢˇ,,,,
14,0849,悾,ㄎㄨㄥ,悾悾、悾款,,通「倥傯」之\n「倥」時，音\nㄎㄨㄥˇ。,
15,0850,惇,ㄉㄨㄣ,,,,
16,0851,悴,ㄘㄨㄟˋ,,,,
17,*0852,惓,ㄑㄩㄢˊ,,,,
18,0853,惔,ㄊㄢˊ,,,,
0,*0854,惙,ㄔㄨㄛˋ,,,,
1,*0855,悽,ㄑ｜,,,,
2,0856,惏,ㄌㄢˊ,,,,
3,0857,惝,ㄔㄤˇ,,,,
4,0858,惆,ㄔㄡˊ,,,,
5,0859,惛,ㄏㄨㄣ,,,,
6,0860,惀,ㄌㄨㄣˊ,,,,
7,*0861,惢,ㄙㄨㄛˇ,,,,
8,0862,悶,1.ㄇㄣˋ\n2.ㄇㄣ,1.煩悶、悶得\n慌\n2.悶熱、悶\n飯、悶得慌,,,心 裡 煩 悶 音\nㄇㄣˋ；被罩\n住 的 意 思 音\nㄇㄣ。
9,0863,惡,1.ㄜˋ\n2.ㄜˇ\n3.ㄨˋ\n4.ㄨ,1.罪惡、惡化\n2.惡心\n3.羞惡、交\n惡、可惡、\n厭惡\n4.「惡！是何\n言也？」\n（孟子‧公\n孫丑下）,,,
10,*0864,意,｜ˋ,,,,
11,0865,惲,ㄩㄣˋ,,,,
12,*0866,愖,ㄔㄣˊ,,,,
13,0867,愓,ㄕㄤ,,,,
14,0868,惺,ㄒ｜ㄥ,,,,
15,0869,愒,ㄎㄞˋ,,,,
16,*0870,愕,ㄜˋ,,,,
17,0871,愣,ㄌㄥˋ,,,,
18,*0872,惴,ㄓㄨㄟˋ,,,,
19,0873,惾,ㄗㄨㄥ,,,,
20,0874,愀,ㄑ｜ㄠˇ,,,,
0,*0875,惶,ㄏㄨㄤˊ,,,,
1,*0876,愉,ㄩˊ,,,,
2,0877,感,ㄍㄢˇ,,,,
3,0878,愁,ㄔㄡˊ,,,,
4,*0879,愈,ㄩˋ,,,,
5,0880,慨,ㄎㄞˇ,,,,
6,0881,慊,1.ㄑ｜ㄢˋ\n2.ㄑ｜ㄝˋ,1.「彼以其\n爵，我以無\n義，吾何慊\n乎哉？」\n（孟子‧公\n孫丑下）\n2.「盡去而後\n慊。」（莊\n子‧天運）,,,
7,0882,慅,ㄘㄠˇ,「憂心慅\n兮。」（詩\n經‧陳風‧月\n出）,,通「騷」時，\n音ㄙㄠ。,
8,0883,慌,ㄏㄨㄤ,,,,
9,*0884,慍,ㄩㄣˋ,,,,
10,0885,愾,ㄎㄞˋ,,,,
11,*0886,愴,ㄔㄨㄤˋ,,,,
12,0887,慷,ㄎㄤ,,,,
13,0888,慵,ㄩㄥ,,,,
14,0889,慒,1.ㄘㄨㄥˊ\n2.ㄗㄠ,1.「慒，謀\n也。」（廣\n韻）\n2.「慒，亂\n也。」（玉\n篇）,,,
15,0890,慓,ㄆ｜ㄠˋ,,,,
16,*0891,慬,ㄑ｜ㄣˊ,,,,
0,0892,慴,ㄓㄜˊ,,,,
1,0893,憀,ㄌ｜ㄠˊ,,,,
2,*0894,慺,ㄌㄡˊ,,,,
3,0895,慔,ㄇㄨˋ,,,,
4,0896,慘,ㄘㄢˇ,,,,
5,0897,慥,ㄗㄠˋ,,,,
6,0898,慟,ㄊㄨㄥˋ,,,,
7,*0899,慶,ㄑ｜ㄥˋ,,,,
8,0900,憃,ㄔㄨㄥ,,,,
9,0901,慹,ㄓˊ,,,,
10,*0902,慝,ㄊㄜˋ,,,,
11,*0903,憲,ㄒ｜ㄢˋ,,,,
12,0904,憧,ㄔㄨㄥ,憧憬、「憧憧\n往來。」（易\n經‧咸卦）、\n「愚憧而不\n逮事。」（史\n記‧三王世\n家）、戇憧,,,
13,0905,憐,ㄌ｜ㄢˊ,,,,
14,*0906,憪,ㄒ｜ㄢˊ,,,,
15,0907,憛,ㄊㄢˊ,,,,
16,0908,憭,ㄌ｜ㄠˊ,,,,
17,*0909,憚,ㄉㄢˋ,,,,
18,0910,憒,ㄎㄨㄟˋ,,,,
19,0911,憮,ㄨˇ,,,,
20,0912,憍,ㄐ｜ㄠ,,,,
21,*0913,憨,ㄏㄢ,,,,
22,*0914,憖,｜ㄣˋ,,,,
23,0915,憋,ㄅ｜ㄝ,,,,
24,0916,憊,ㄅㄟˋ,,,,
25,*0917,懍,ㄌ｜ㄣˇ,,,,
0,*0918,憾,ㄏㄢˋ,,,,
1,*0919,懆,ㄘㄠˇ,,,,
2,0920,,1.ㄋㄨㄥˊ\n2.ㄋㄠˊ\n(限讀),1.「，心亂\n也。」（集\n韻）,2.限於「懊\n」一詞音\nㄋㄠˊ。,,
3,0921,懅,ㄐㄩˋ,,,,
4,*0922,懁,ㄒㄩㄢ,,,,
5,0923,懈,ㄒ｜ㄝˋ,,,,
6,0924,憿,ㄐ｜ㄠˇ,,,,
7,0925,懊,ㄠˋ,,,,
8,0926,憸,ㄒ｜ㄢ,,,,
9,0927,應,1.｜ㄥ\n2.｜ㄥˋ,1.應該、應非\n難事\n2.應驗、應\n對、報應、\n姓（如三國\n時魏國有應\n瑒）,,,
10,0928,懋,ㄇㄠˋ,,,,
11,0929,憼,ㄐ｜ㄥˇ,,,,
12,0930,懣,ㄇㄣˋ,,,,
13,0931,懠,ㄑ｜ˊ,,,,
14,*0932,懦,ㄋㄨㄛˋ,,,,
15,0933,懞,ㄇㄥˊ,,,,
16,0934,懭,ㄎㄨㄤˇ,,,,
17,*0935,懮,｜ㄡˇ,,,,
18,*0936,懰,ㄌ｜ㄡˊ,,,,
19,*0937,懫,ㄓˋ,,,,
20,*0938,懶,ㄌㄢˇ,,,,
21,0939,懵,ㄇㄥˊ,,,,
22,0940,懾,ㄓㄜˊ,,,,
23,*0941,懽,ㄏㄨㄢ,,,,
0,0942,懿,｜ˋ,,,,
1,0943,戁,ㄋㄢˇ,,,,
2,*0944,戄,ㄐㄩㄝˊ,,,,
3,0945,戇,1.ㄓㄨㄤˋ\n2.ㄍㄤˋ\n(限讀),1.「悍戇好\n鬥。」（荀\n子‧大略）,2.限於「戇子\n頭」一詞音\nㄍㄤˋ。,,
4,0946,戊,ㄨˋ,,,,
5,0947,我,ㄨㄛˇ,,,,
6,*0948,或,ㄏㄨㄛˋ,,,,
7,*0949,戔,ㄐ｜ㄢ,,,,
8,*0950,戕,ㄑ｜ㄤˊ,,,,
9,0951,戚,ㄑ｜,,,,
10,0952,戣,ㄎㄨㄟˊ,,,,
11,*0953,戡,ㄎㄢ,,,,
12,0954,戧,ㄑ｜ㄤˋ,,,,
13,0955,戭,｜ㄣˇ,,,,
14,*0956,戮,ㄌㄨˋ,,,,
15,0957,戲,1.ㄒ｜ˋ\n2.ㄏㄨ\n(限讀),1.演戲、遊\n戲、戲水、\n戲弄,2.限於「於\n戲」一詞音\nㄏㄨ。,通「麾」時，\n音ㄏㄨㄟ。,
16,0958,戽,ㄏㄨˋ,,,,
17,0959,房,ㄈㄤˊ,,,,
18,0960,戾,ㄌ｜ˋ,,,,
19,0961,扃,ㄐㄩㄥ,,,,
20,0962,扁,1.ㄅ｜ㄢˇ\n2.ㄆ｜ㄢ\n(限讀),1.扁額、扁\n擔、扁平、\n扁食,2.限於「扁\n舟」一詞音\nㄆ｜ㄢ。,,
21,0963,扆,｜ˇ,,,,
22,0964,扇,1.ㄕㄢˋ\n2.ㄕㄢ,1.門扇、扇子\n2.扇風、扇惑,,,
0,0965,扎,1.ㄓㄚˊ\n2.ㄓㄚ,1.掙扎\n2.扎手、扎根,,,
1,0966,打,ㄉㄚˇ,,,,
2,*0967,扐,ㄌㄜˋ,,,,
3,0968,扔,ㄖㄥ,,,,
4,0969,扒,1.ㄅㄚ\n2.ㄆㄚˊ,1.扒衣服、扒\n拉算盤、扒\n住\n2.扒手、猪扒,,,
5,*0970,扞,ㄏㄢˋ,,,,
6,0971,扜,ㄩ,,,,
7,0972,扛,1.ㄍㄤ\n2.ㄎㄤˊ,1.扛鼎、扛桌\n子\n2.扛槍、「這\n件事情由我\n來扛。」,,,用雙手舉，音\nㄍㄤ；以肩\n挑，音ㄎㄤ\nˊ。
8,0973,扡,｜ˇ,,,,
9,0974,扤,ㄨˋ,,,,
10,0975,扠,1.ㄔㄚ\n2.ㄓㄚˇ,1.扠腰\n2.「這塊木板\n有三扠寬。」,,,
11,0976,扣,ㄎㄡˋ,,,,
12,0977,扢,1.ㄒ｜ˋ\n2.ㄍㄨˇ,1.「子路扢然\n執干而舞。」\n（莊子‧讓\n王）\n2.「扢嘉壇椒\n蘭芳。」（漢\n書‧禮樂志）,,,
13,*0978,承,ㄔㄥˊ,,,,
14,0979,抌,ㄓㄣˇ,,,,
15,0980,抆,ㄨㄣˋ,,,,
0,0981,扶,ㄈㄨˊ,扶助、攙扶、\n扶疏、扶搖、\n扶老攜幼,,通「匍」時，\n音ㄆㄨˊ。,
1,*0982,扭,ㄋ｜ㄡˇ,,,,
2,0983,把,1.ㄅㄚˇ\n2.ㄅㄚˋ,1.一把傘、火\n把、把柄、\n把持\n2.刀把、槍把,,,
3,*0984,批,ㄆ｜,,,,
4,*0985,找,ㄓㄠˇ,,,,
5,0986,扳,ㄅㄢ,,,,
6,0987,抇,ㄍㄨˇ,,,,
7,*0988,扱,ㄒ｜,,,,
8,*0989,投,ㄊㄡˊ,,,,
9,0990,折,1.ㄓㄜˊ\n2.ㄕㄜˊ\n3.ㄓㄜ,1.折扣、打\n折、挫折、\n百折不撓\n2.折本、「腿\n折了！」\n3.折騰、折跟\n頭,,,
10,0991,抓,1.ㄓㄨㄚ\n2.ㄔㄨㄚˇ\n(限讀),1.抓癢、抓住,2.限於「抓子\n兒」一詞音\nㄔㄨㄚˇ。,,
11,*0992,扮,ㄅㄢˋ,,,,
12,0993,抭,｜ㄠˇ,,,,
13,0994,拉,ㄌㄚ,,,,
14,0995,拌,ㄅㄢˋ,,,,
15,0996,抨,ㄆㄥ,,,,
16,0997,抿,ㄇ｜ㄣˇ,抿嘴,,,
17,0998,拂,ㄈㄨˊ,拂曉、拂拭、\n拂逆、吹拂、\n拂袖而去,,通「弼」時，\n音ㄅ｜ˋ。,
0,0999,抹,1.ㄇㄛˇ\n2.ㄇㄛˋ,1.抹布、塗抹\n2.拐彎抹\n角、抹頭、\n抹胸,,,
1,*1000,拒,ㄐㄩˋ,,,,
2,1001,抾,ㄑ｜ㄝˋ,,,,
3,1002,抴,｜ㄝˋ,,,,
4,1003,招,ㄓㄠ,,,,
5,1004,拓,1.ㄊㄨㄛˋ\n2.ㄊㄚˋ,1.拓荒、開\n拓、落拓、\n拓跋（複姓）\n2.拓碑、拓本,,通「摭」時，\n音ㄓˊ。,
6,*1005,拋,ㄆㄠ,,,,
7,1006,披,ㄆ｜,,,,
8,*1007,拔,ㄅㄚˊ,,,,
9,1008,拇,ㄇㄨˇ,,,,
10,1009,押,｜ㄚ,,,,
11,1010,拈,ㄋ｜ㄢˊ,拈取、拈花惹\n草、拈弄,,通「捻」時，\n音ㄋ｜ㄢˇ。,
12,*1011,拙,ㄓㄨㄛˊ,,,,
13,1012,拚,ㄆㄢˋ,,,,
14,*1013,抱,ㄅㄠˋ,,,,
15,1014,拖,ㄊㄨㄛ,,,,
16,1015,拘,ㄐㄩ,,,,
17,1016,拍,ㄆㄞ,,,,
18,1017,抵,ㄉ｜ˇ,抵銷、抵抗,,通「扺」時，\n音ㄓˇ。,
0,1018,拗,1.ㄠˋ\n2.ㄋ｜ㄡˋ\n3.ㄠˇ,1.拗口、拗\n句、「你和\n他拗些甚\n麼？」（儒\n林外史‧第\n一回）\n2.脾氣很拗\n3.拗花、「拗\n蓮作寸絲難\n絕。」（唐‧\n溫庭筠‧達\n摩支曲）,,,
1,1019,拆,ㄔㄞ,,,,
2,*1020,抮,ㄓㄣˇ,,,,
3,*1021,挈,ㄑ｜ㄝˋ,,,,
4,1022,拲,ㄍㄨㄥˇ,,,,
5,1023,挖,ㄨㄚ,,,,
6,1024,挑,1.ㄊ｜ㄠ\n2.ㄊ｜ㄠˇ,1.挑選、挑\n夫、挑剔、\n挑食、挑水\n2.挑撥、挑\n燈、挑戰、\n挑釁、挑逗,,,
7,1025,挂,ㄍㄨㄚˋ,,,,
8,*1026,拮,ㄐ｜ㄝˊ,,,,
9,*1027,指,ㄓˇ,,,,
10,1028,拽,ㄓㄨㄞˋ,,,,
11,1029,挏,ㄊㄨㄥˊ,,,,
12,1030,拸,ㄔˇ,,,,
13,1031,括,1.ㄍㄨㄚ\n2.ㄎㄨㄛˋ\n(限讀),,2.限於「括約\n肌」一詞音\nㄎㄨㄛˋ。,,
14,*1032,挌,ㄍㄜˊ,,,,
0,1033,拶,1.ㄗㄚˊ\n2.ㄗㄢˇ,1.「漰騰相排\n拶。」（唐‧\n韓愈‧雪詩）\n2.拶子、拶指,,,
1,*1034,拴,ㄕㄨㄢ,,,,
2,1035,拾,1.ㄕˊ\n2.ㄕㄜˋ\n(限讀),,2.限於「拾\n級」一詞音\nㄕㄜˋ。,,
3,1036,挐,ㄖㄨˊ,挐攫、挐來、\n紛挐,,通「拏」時，\n音ㄋㄚˊ。,
4,1037,拼,ㄆ｜ㄣ,,,,
5,1038,捖,ㄨㄢˊ,,,,
6,*1039,挲,ㄙㄨㄛ,,,,
7,1040,挩,ㄕㄨㄟˋ,「坐挩手，遂\n祭酒。」（儀\n禮‧鄉飲酒\n禮）,,通「脫」時，\n音ㄊㄨㄛ。,
8,1041,捄,ㄑ｜ㄡˊ,「有捄棘\n匕。」（詩經‧\n小雅‧大東）,,通「救」時，\n音ㄐ｜ㄡˋ。,
9,1042,捕,ㄅㄨˇ,,,,
10,1043,捂,ㄨˇ,,,,
0,1044,挾,ㄒ｜ㄚˊ,,,,ㄒ｜ㄝˊ、\nㄒ｜ㄚˊ切\n語相同，且從\n夾之字韻母\n多為「｜ㄚ\nˊ」，如:\n「夾」、「俠」\n等；另「挾帶」\n音ㄒ｜ㄚˊ\nㄉㄞˋ，因取\nㄒ｜ㄝˊ易\n與「鞋帶」\n混，故取\nㄒ｜ㄚˊ，不\n取ㄒ｜ㄝˊ。
1,1045,振,ㄓㄣˋ,,,,
2,1046,捎,1.ㄕㄠ\n2.ㄕㄠˋ,1.捎信、捎帶\n2.捎馬子、\n「雨捎進來\n了！」,,,
3,*1047,捍,ㄏㄢˋ,,,,
4,1048,捐,ㄐㄩㄢ,,,,
5,*1049,捌,ㄅㄚ,,,,
6,1050,捋,1.ㄌㄜˋ\n2.ㄌㄩˇ\n3.ㄌㄨㄛ,1.捋虎鬚\n2.捋鬍鬚\n3.捋袖子、捋\n臂捲袖、捋\n汗,,,
7,1051,捊,ㄆㄡˊ,,,,
8,1052,挼,ㄖㄨㄛˊ,,,,
9,1053,挫,ㄘㄨㄛˋ,,,,
10,1054,挨,ㄞ,挨得過、挨\n餓、挨打、挨\n近點,,,
0,1055,捘,ㄐㄩㄣˋ,,,,
1,*1056,捁,ㄐ｜ㄠˇ,,,,
2,1057,挺,ㄊ｜ㄥˇ,,,,
3,*1058,捔,ㄐㄩㄝˊ,,,,
4,*1059,掔,ㄑ｜ㄢ,,,,
5,*1060,捥,ㄨㄢˋ,,,,
6,*1061,控,ㄎㄨㄥˋ,,,,
7,1062,掊,1.ㄆㄡˊ\n2.ㄆㄡˇ,1.「君子以掊\n多益寡。」\n（易經‧謙\n卦）\n2.掊擊,,,
8,*1063,接,ㄐ｜ㄝ,,,,
9,*1064,捩,ㄌ｜ㄝˋ,,,,
10,1065,掠,ㄌㄩㄝˋ,,,,
11,1066,捽,ㄗㄨˊ,,,,
12,1067,探,ㄊㄢˋ,,,,
13,1068,掖,1.｜ㄝˋ\n2.｜ㄝ,1.掖門、掖縣\n（在山東\n省）、獎掖\n2.掖在懷裡,,,
14,*1069,捲,ㄐㄩㄢˇ,,,,
15,1070,掞,｜ㄢˋ,,,,
16,1071,掇,ㄉㄨㄛˊ,,,,
17,1072,掃,1.ㄙㄠˇ\n2.ㄙㄠˋ,1.掃地、掃興\n2.掃帚、掃把,,,
18,*1073,捷,ㄐ｜ㄝˊ,,,,
19,1074,捧,ㄆㄥˇ,,,,
20,1075,据,ㄐㄩ,拮据,,通「據」時，\n音ㄐㄩˋ。,
21,*1076,掘,ㄐㄩㄝˊ,,,,
22,*1077,掫,ㄗㄡ,,,,
0,1078,掝,ㄏㄨㄛˋ,,,,
1,1079,掗,1.｜ㄚˋ\n2.｜ㄚˇ,1.掗在袖\n內、掗緊\n2.「朱扉半\n掗。」（董\n西廂‧卷\n四）、「掗\n著金蘸斧，\n立馬在陣\n前。」（水\n滸傳‧第十\n三回）,,,
2,*1080,措,ㄘㄨㄛˋ,,,,
3,*1081,掩,｜ㄢˇ,,,,
4,*1082,捵,ㄔㄣ,,,,
5,1083,掉,ㄉ｜ㄠˋ,,,,
6,1084,掙,1.ㄓㄥ\n2.ㄓㄥˋ\n(限讀),1.掙扎、掙\n脫、掙面子,2.限於「掙\n錢」一詞音\nㄓㄥˋ。,,
7,1085,排,1.ㄆㄞˊ\n2.ㄆㄞˇ\n(限讀),1.排隊、牛\n排、排球、\n排斥、排\n除、排練、\n排山倒海,2.限於「排子\n車」一詞音\nㄆㄞˇ。,,
8,1086,捼,ㄖㄨㄛˊ,,,,
9,1087,掏,ㄊㄠ,,,,
10,1088,推,ㄊㄨㄟ,,,,
11,1089,掜,ㄋ｜ˇ,,,,
12,*1090,捭,ㄅㄞˇ,,,,
13,1091,捻,ㄋ｜ㄢˇ,捻匪、紙捻、\n捻線、捻鬍子,,通「捏」時，\n音ㄋ｜ㄝ。,
14,1092,掄,1.ㄌㄨㄣˊ\n2.ㄌㄨㄣ,1.掄才\n2.掄拳、掄刀,,,
15,*1093,掣,ㄔㄜˋ,,,,
0,1094,揥,ㄊ｜ˋ,,,,
1,*1095,揮,ㄏㄨㄟ,,,,
2,1096,揯,ㄍㄥˋ,,,,
3,*1097,揃,ㄐ｜ㄢˇ,,,,
4,*1098,揉,ㄖㄡˊ,,,,
5,1099,揆,ㄎㄨㄟˊ,,,,
6,1100,揵,1.ㄑ｜ㄢˊ\n2.ㄐ｜ㄢˋ,1.「揵鰭掉\n尾。」（漢\n書‧司馬相\n如傳）\n2.「夫外韄者\n不可繁而\n捉，將內\n揵。」（莊\n子‧庚桑楚）,,,
7,*1101,揳,ㄒ｜ㄝ,,,,
8,1102,揟,ㄒㄩ,,,,
9,1103,揲,ㄕㄜˊ,,,,
10,*1104,揩,ㄎㄞ,,,,
11,1105,提,1.ㄊ｜ˊ\n2.ㄕˊ,1.提名、提\n款、舊話重\n提、提神醒\n腦、提防、\n提議、提拔\n2.朱提（銀的\n別名）,,,
12,1106,揖,｜,作揖、揖讓,,通「輯」時，\n音ㄐ｜ˊ。,
0,1107,揭,1.ㄐ｜ㄝ\n2.ㄑ｜ˋ,1.揭露、揭竿\n而起、揭\n櫫、揭穿、\n揭發、揭幕\n2.「深則厲，\n淺則揭。」\n（詩經‧邶\n風‧匏有苦\n葉）,,,
1,*1108,掾,ㄩㄢˋ,,,,
2,1109,揣,ㄔㄨㄞˇ,,,,
3,*1110,援,ㄩㄢˊ,,,,
4,*1111,揝,ㄗㄨㄢˋ,,,,
5,1112,揘,ㄏㄨㄤˊ,,,,
6,1113,揄,ㄩˊ,,,,
7,*1114,揜,｜ㄢˇ,,,,
8,1115,揱,ㄒ｜ㄠ,,,,
9,1116,揫,ㄐ｜ㄡ,,,,
10,*1117,摡,ㄍㄞˋ,,,,
11,*1118,撝,ㄏㄨㄟ,,,,
12,1119,搴,ㄑ｜ㄢ,,,,
13,1120,搳,ㄏㄨㄚˊ,,,,
14,1121,搒,ㄅㄥˋ,搒笞,,通「榜」時，\n音ㄅㄤˇ。,
15,1122,搧,ㄕㄢ,,,,
16,*1123,搞,ㄍㄠˇ,,,,
17,1124,搉,ㄑㄩㄝˋ,,,,
18,1125,搐,ㄔㄨˋ,,,,
19,1126,搦,ㄋㄨㄛˋ,,,,
20,1127,搌,ㄓㄢˇ,,,,
21,*1128,搏,ㄅㄛˊ,,,,
22,1129,搹,ㄍㄜˊ,,,,
0,*1130,搢,ㄐ｜ㄣˋ,,,,
1,1131,搚,ㄌㄚ,,,,
2,*1132,搔,ㄙㄠ,,,,
3,1133,搰,ㄏㄨˊ,,,,
4,*1134,搭,ㄉㄚ,,,,
5,1135,搽,ㄔㄚˊ,,,,
6,1136,搵,ㄨㄣˋ,,,,
7,*1137,搖,｜ㄠˊ,,,,
8,*1138,搊,ㄔㄡ,,,,
9,*1139,搥,ㄔㄨㄟˊ,,,,
10,*1140,搜,ㄙㄡ,,,,
11,1141,搋,ㄔㄨㄞ,,,,
12,1142,搶,1.ㄑ｜ㄤˇ\n2.ㄑ｜ㄤ,1.搶劫、搶\n購、搶奪、\n搶著說話\n2.「以頭搶地\n爾。」（戰\n國策‧魏策\n四）、「艇\n子搶風，榜\n人逸浪。」\n（晉‧庾\n闡‧揚都賦）,,,
13,1143,摩,ㄇㄛˊ,,,,
14,1144,摘,ㄓㄞ,,,,
15,*1145,摛,ㄔ,,,,
16,*1146,摝,ㄌㄨˋ,,,,
17,1147,摴,ㄕㄨ,,,,
18,1148,摲,ㄕㄢˋ,,,,
19,*1149,摶,ㄊㄨㄢˊ,,,,
0,1150,摽,1.ㄅ｜ㄠ\n2.ㄆ｜ㄠˇ\n3.ㄅ｜ㄠˋ,1.「長木之\n斃，無不摽\n也。」（左\n傳‧哀公十\n二年）\n2.「摽有梅，\n其實七兮。」\n（詩經‧召\n南‧摽有梅）\n3.摽著胳\n臂、摽在一\n起,,,
1,*1151,摵,ㄕㄜˋ,,,,
2,1152,摺,ㄓㄜˊ,,,,
3,1153,摎,ㄐ｜ㄡ,,,,
4,1154,摟,1.ㄌㄡˊ\n2.ㄌㄡ\n3.ㄌㄡˇ,1.「踰東家牆\n而摟其處\n子。」（孟\n子‧告子下）\n2.摟錢、摟槍\n機、摟聚、\n摟生意\n3.摟抱,,,
5,1155,摞,ㄌㄨㄛˋ,,,,
6,1156,摸,ㄇㄛ,,,,
7,*1157,摧,ㄘㄨㄟ,,,,
8,1158,摋,ㄕㄚ,,,,
9,1159,摻,1.ㄔㄢ\n2.ㄘㄢˋ\n3.ㄕㄢˇ,1.摻和\n2.漁陽摻撾\n（鼓曲名）\n3.「摻執子之\n袪兮。」（詩\n經‧鄭風‧\n遵大路）,,,
0,1160,摐,ㄔㄨㄤ,,,,
1,1161,摹,ㄇㄛˊ,,,,
