,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
8,0044,介,ㄐ｜ㄝˋ,,,,
9,0045,仔,ㄗˇ,,,,
10,0046,他,ㄊㄚ,,,,
11,0047,仡,1.｜ˋ\n2.ㄍㄜ\n(限讀),1.仡然,2.限於「仡\n僚」（民族\n名）一詞音\nㄍㄜ。,,
12,0048,令,ㄌ｜ㄥˋ,,,,
13,0049,休,ㄒ｜ㄡ,休息、休兵、\n休戚相關、休\n屠（古地名）,,通「咻」時，\n音ㄒㄩˇ。,
14,0050,伐,ㄈㄚ,,,,
15,0051,仵,ㄨˇ,,,,
16,0052,件,ㄐ｜ㄢˋ,,,,
0,0053,任,1.ㄖㄣˋ\n2.ㄖㄣˊ,1.責任、任用\n2.姓（如南朝\n梁有任昉）,,,
1,0054,份,ㄈㄣˋ,,,,
2,0055,佗,ㄊㄨㄛˊ,佗負、「舍彼\n有罪，予之佗\n矣。」（詩\n經‧小雅‧小\n弁）,,通「它」時，\n音ㄊㄨㄛ。,
3,0056,伺,1.ㄙˋ\n2.ㄘˋ,1.窺伺\n2.伺候,,,
4,0057,佛,1.ㄈㄛˊ\n2.ㄅ｜ˋ,1.佛教\n2.姓（如春秋\n時魯國有佛\n肸）,,通「彿」時，\n音ㄈㄨˊ。,
5,0058,伽,1.ㄑ｜ㄝˊ\n2.ㄐ｜ㄚ,1.伽利略(人\n名)\n2.「伽瑪射\n線」、「瑜\n珈」,,,
6,0059,何,ㄏㄜˊ,何人、如何、\n為何、姓（如\n三國時魏國\n有何晏）,,通「負荷」之\n「荷」時，音\nㄏㄜˋ。,
7,0060,佉,ㄑㄩ,,,,
8,0061,估,1.ㄍㄨ\n2.ㄍㄨˋ,1.估價、估\n計、估算\n2.估衣鋪,,,
9,0062,体,1.ㄊ｜ˇ\n2.ㄅㄣˋ,1.「體」的異\n體字\n2.「笨」的異\n體字,,,
10,0063,但,ㄉㄢˋ,,,,
11,*0064,佃,ㄉ｜ㄢˋ,,,,
0,0065,佔,ㄓㄢˋ,佔領,,通「覘」時，\n音ㄓㄢ。,
1,*0066,伴,ㄅㄢˋ,,,,
2,0067,佁,｜ˇ,,,,
3,*0068,佚,｜ˋ,,,,
4,0069,作,1. ㄗㄨㄛ\nˋ\n2.ㄗㄨㄛˊ,1.作文、工\n作、自作自\n受、打躬作\n揖、瓦作、\n作坊、仵作\n2.作料、作\n興、作摩,,,
